?|90288
A2ML1|144568
ABAT|18
ABCA13|154664
ABCC11|85320
ABCC8|6833
ABCG1|9619
ABCG2|9429
ABLIM3|22885
ABTB2|25841
ACADSB|36
ACE2|59272
ACOT4|122970
ACOX2|8309
ACTL6A|86
ACTR3B|57180
ACVR1B|91
ADAMTS15|170689
ADCY9|115
ADD1|118
AFF3|3899
AGR2|10551
AGR3|155465
AKR1E2|83592
AKR7A3|22977
ALAD|210
AMD1|262
AMY1A|276
ANKLE1|126549
ANKMY1|51281
ANKRA2|57763
ANKRD30A|91074
ANKRD30B|374860
ANKRD42|338699
ANKRD45|339416
ANKS6|203286
ANLN|54443
ANP32E|81611
ANXA8L2|244
ANXA9|8416
APBB2|323
APH1B|83464
APPL2|55198
ARHGAP11A|9824
ARHGEF4|50649
ARL9|132946
ARSG|22901
ART3|419
AR|367
ASNS|440
ASTN2|23245
ATAD2|29028
ATL2|64225
ATOH7|220202
ATP1B3|483
ATP5C1|509
ATP6V1C2|245973
ATP7B|540
ATP8B1|5205
AURKA|6790
AURKB|9212
B3GNT4|79369
B3GNT5|84002
BAIAP2L2|80115
BBOX1|8424
BBS1|582
BBS4|585
BBS5|129880
BCAM|4059
BCAS1|8537
BCL11A|53335
BCL2|596
BECN1|8678
BHLHE40|8553
BIRC5|332
BLM|641
BPI|671
BRIX1|55299
BTG2|7832
BTG3|10950
BUB1|699
BYSL|705
C10orf116|10974
C10orf26|54838
C10orf32|119032
C10orf90|118611
C11orf75|56935
C11orf82|220042
C11orf86|254439
C12orf11|55726
C12orf48|55010
C12orf72|254013
C13orf27|93081
C14orf174|161394
C14orf45|80127
C15orf23|90417
C15orf42|90381
C16orf45|89927
C16orf57|79650
C16orf61|56942
C16orf71|146562
C17orf28|283987
C19orf51|352909
C1QL2|165257
C1QL4|338761
C1orf106|55765
C1orf112|55732
C1orf135|79000
C1orf64|149563
C20orf114|92747
C20orf26|26074
C22orf23|84645
C2orf40|84417
C2orf55|343990
C2orf71|388939
C3orf26|84319
C4orf32|132720
C4orf34|201895
C5orf30|90355
C5orf36|285600
C5orf53|492311
C6orf153|88745
C6orf15|29113
C6orf211|79624
C6orf218|221718
C6orf97|80129
C7orf63|79846
C8orf47|203111
C8orf76|84933
C9orf100|84904
C9orf116|138162
C9orf152|401546
C9orf170|401535
C9orf30|91283
C9orf40|55071
C9orf53|51198
C9orf64|84267
C9orf98|158067
CA12|771
CA6|765
CA9|768
CACNA2D2|9254
CACYBP|27101
CALCOCO1|57658
CAMKV|79012
CAPN11|11131
CAPN13|92291
CAPN8|388743
CASC1|55259
CBX2|84733
CBX7|23492
CCDC125|202243
CCDC129|223075
CCDC150|284992
CCDC30|728621
CCDC48|79825
CCDC74B|91409
CCDC77|84318
CCDC82|79780
CCDC96|257236
CCDC99|54908
CCKBR|887
CCNA2|890
CCNB1|891
CCNB2|9133
CCNDBP1|23582
CCNE1|898
CCNG2|901
CCT4|10575
CCT5|22948
CCT6A|908
CDC123|8872
CDC20|991
CDC25A|993
CDC25B|994
CDC45|8318
CDC6|990
CDC7|8317
CDCA2|157313
CDCA3|83461
CDCA5|113130
CDCA7|83879
CDCA8|55143
CDK1|983
CDK2AP1|8099
CDKN2A|1029
CDKN3|1033
CEBPB|1051
CENPA|1058
CENPE|1062
CENPF|1063
CENPL|91687
CENPN|55839
CENPO|79172
CENPW|387103
CEP55|55165
CGRRF1|10668
CHAC2|494143
CHAD|1101
CHAF1B|8208
CHEK1|1111
CHEK2|11200
CHODL|140578
CHRD|8646
CHRM3|1131
CHRNA5|1138
CHST2|9435
CHST3|9469
CIRBP|1153
CIRH1A|84916
CKS1B|1163
CKS2|1164
CLCN4|1183
CLDN11|5010
CLDN19|149461
CLSTN2|64084
CMBL|134147
CMTM7|112616
CMYA5|202333
CNGA1|1259
CNGB1|1258
CNN1|1264
CNTNAP3|79937
COG2|22796
COL11A2|1302
COL22A1|169044
COQ7|10229
CPA4|51200
CPEB2|132864
CPLX1|10815
CPSF3|51692
CRHR1|1394
CRIP1|1396
CROT|54677
CRY2|1408
CSDA|8531
CSRP2|1466
CSTB|1476
CT62|196993
CTPS|1503
CX3CL1|6376
CXCL1|2919
CXCL3|2921
CXCL5|6374
CXXC5|51523
CXorf49B|100132994
CXorf61|203413
CYB5D2|124936
CYB5R1|51706
CYBRD1|79901
CYP27C1|339761
CYP2B7P1|1556
CYP39A1|51302
CYP4B1|1580
CYP4Z2P|163720
DACH1|1602
DALRD3|55152
DAZAP2|9802
DBF4|10926
DCAF13|25879
DDN|23109
DEGS2|123099
DEK|7913
DEPDC1B|55789
DEPDC1|55635
DIAPH3|81624
DKC1|1736
DLX6AS|285987
DLX6|1750
DMRT1|1761
DMRTA2|63950
DNAH7|56171
DNAJB11|51726
DNAJC12|56521
DNAJC2|27000
DNAJC9|23234
DNAL1|83544
DNALI1|7802
DNER|92737
DNMBP|23268
DNMT3B|1789
DONSON|29980
DSC2|1824
DSC3|1825
DSCC1|79075
DSG1|1828
DSN1|79980
DUSP7|1849
DUSP9|1852
DYNLRB2|83657
E2F1|1869
E2F2|1870
E2F3|1871
EAPP|55837
ECE2|9718
EDA2R|60401
EFCAB6|64800
EIF2C2|27161
EIF2S2|8894
EME1|146956
EN1|2019
ENO1|2023
ENPP1|5167
ENY2|56943
EPB41L4A|64097
EPHB1|2047
EPHB6|2051
ERBB4|2066
ERGIC1|57222
ESR1|2099
ESYT3|83850
EVL|51466
EXO1|9156
EXOC6|54536
EZH2|2146
F7|2155
FAAH|2166
FABP7|2173
FAF1|11124
FAM114A2|10827
FAM120AOS|158293
FAM123B|139285
FAM134B|54463
FAM136A|84908
FAM150B|285016
FAM161B|145483
FAM171A1|221061
FAM174A|345757
FAM174B|400451
FAM179B|23116
FAM198B|51313
FAM19A3|284467
FAM19A4|151647
FAM47E|100129583
FAM54A|113115
FAM63A|55793
FAM64A|54478
FAM72A|729533
FAM72B|653820
FAM72D|728833
FAM83D|81610
FANCA|2175
FANCB|2187
FANCE|2178
FAT2|2196
FBN3|84467
FBP1|2203
FBXL17|64839
FBXL5|26234
FBXO36|130888
FEN1|2237
FERMT1|55612
FGD3|89846
FGFBP1|9982
FLAD1|80308
FLJ36031|168455
FLJ45983|399717
FMO5|2330
FMO6P|388714
FNIP1|96459
FOXA1|3169
FOXC1|2296
FOXM1|2305
FOXP1|27086
FRY|10129
FSCN1|6624
FSD1|79187
FSIP1|161835
FUT8|2530
FZD9|8326
GABBR2|9568
GABRA5|2558
GABRP|2568
GALNT10|55568
GAL|51083
GAMT|2593
GARS|2617
GART|2618
GATA3|2625
GDF5|8200
GFRA1|2674
GFRA3|2676
GGH|8836
GIN1|54826
GINS1|9837
GINS3|64785
GINS4|84296
GJB3|2707
GLI3|2737
GLIPR1L2|144321
GLT25D1|79709
GMPR2|51292
GMPS|8833
GOLGA1|2800
GP2|2813
GPD1L|23171
GPIHBP1|338328
GPM6B|2824
GPN1|11321
GPR12|2835
GPR156|165829
GPR160|26996
GPR161|23432
GPR77|27202
GPR81|27198
GPRASP1|9737
GPSM2|29899
GREB1|9687
GRM6|2916
GRPR|2925
GSG2|83903
GSTP1|2950
GTPBP4|23560
GTPBP8|29083
GTSE1|51512
H2AFZ|3015
HAPLN3|145864
HDAC2|3066
HDGF|3068
HEXIM1|10614
HHAT|55733
HIST1H2AH|85235
HJURP|55355
HMGA1|3159
HORMAD1|84072
HPDL|84842
HRCT1|646962
HRK|8739
HSD17B4|3295
HSPA14|51182
IFFO2|126917
IFRD1|3475
IFT140|9742
IGBP1|3476
IGF1R|3480
IGF2BP2|10644
IGF2BP3|10643
IGFALS|3483
IGFBP4|3487
IL12RB2|3595
IL34|146433
ILF2|3608
IMPA2|3613
INA|9118
INGX|27160
INPP4B|8821
INPP5J|27124
IRS1|3667
IRX1|79192
ISL2|64843
ITPR1|3708
IVD|3712
JKAMP|51528
KARS|3735
KCMF1|56888
KCNG1|3755
KCNH1|3756
KCNJ11|3767
KCNK15|60598
KCNK5|8645
KCNQ4|9132
KCNS1|3787
KCTD3|51133
KCTD6|200845
KDM4B|23030
KIAA0020|9933
KIAA0040|9674
KIAA0141|9812
KIAA0232|9778
KIAA1370|56204
KIAA1407|57577
KIAA1467|57613
KIAA1524|57650
KIAA1609|57707
KIF11|3832
KIF13B|23303
KIF14|9928
KIF15|56992
KIF16B|55614
KIF18A|81930
KIF18B|146909
KIF20A|10112
KIF23|9493
KIF2C|11004
KIF4A|24137
KIF4B|285643
KIFC1|3833
KLHDC1|122773
KLHDC2|23588
KLHDC7A|127707
KLHDC9|126823
KLHL29|114818
KLK6|5653
KLK7|5650
KLK8|11202
KPNA2|3838
KRT16|3868
KRT6B|3854
KRT6C|286887
KRT83|3889
KRT9|3857
L3MBTL4|91133
LANCL3|347404
LBR|3930
LCMT2|9836
LCTL|197021
LDHB|3945
LEMD1|93273
LEPREL1|55214
LIMA1|51474
LIN28B|389421
LMO4|8543
LMOD1|25802
LMX1B|4010
LOC100127888|100127888
